trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.95}",25,8,-84.18845889608635,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 1}",1
2,False,"{'a': 0.9, 'e': 0.8999999999999999}",25,0,-126.20087475585181,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.8499999999999999}",25,0,-76.23840867604515,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.7999999999999998}",20,0,-71.55274570734207,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.7499999999999998}",25,15,-12.020320920126924,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.9, 'e': 0.6999999999999997}",25,0,-94.21092338095197,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.6499999999999997}",20,9,-5.348323119354239,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.5999999999999996}",20,0,-98.30216664329005,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.5499999999999996}",25,0,-57.97619689871863,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.4999999999999996}",25,0,-116.40144047425343,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.4499999999999996}",30,6,-100.65923865637,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 2}",1
12,False,"{'a': 0.9, 'e': 0.39999999999999963}",20,0,-56.97311989502219,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.34999999999999964}",25,0,-91.85857107883847,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.29999999999999966}",25,1,-128.8797456349366,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 3}",1
15,False,"{'a': 0.9, 'e': 0.24999999999999967}",30,0,-61.815214323813066,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.19999999999999968}",25,0,-34.823979198091294,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.1499999999999997}",20,13,6.3127181580917515,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
