trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.99}",20,0,-28.152006452312413,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.9801}",20,0,-83.63712564839393,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.9, 'e': 0.970299}",20,10,-28.731009015170063,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.96059601}",20,0,-43.92916567461018,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.9509900498999999}",25,0,-62.24710944464681,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.941480149401}",30,0,-147.8223299429451,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9320653479069899}",20,9,-6.302191740856665,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.9227446944279201}",20,0,-156.90731311917116,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.9135172474836408}",20,0,-97.42845679428623,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.9, 'e': 0.9043820750088044}",20,0,-104.35537487731793,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.8953382542587164}",25,0,-30.829543584830372,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.8863848717161292}",25,0,-62.52261254376833,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.8775210229989678}",20,0,-76.35672984306339,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.8687458127689782}",25,0,-57.95693366723347,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.8600583546412884}",20,0,-106.82905680755852,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.8514577710948755}",20,0,-91.63110572297153,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.8429431933839268}",20,0,-106.18486900504458,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.9, 'e': 0.8345137614500875}",20,0,-68.10180318169971,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.8261686238355866}",20,0,-90.70470685068743,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.9, 'e': 0.8179069375972308}",25,8,-25.967100231715015,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.8097278682212584}",30,0,-126.7891777995041,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
22,False,"{'a': 0.9, 'e': 0.8016305895390459}",20,0,-119.21498996934747,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.7936142836436554}",20,1,-122.80506863351836,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 2}",1
24,False,"{'a': 0.9, 'e': 0.7856781408072188}",20,0,-216.8381229937129,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
25,False,"{'a': 0.9, 'e': 0.7778213593991467}",20,0,-35.87000561030036,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.7700431458051551}",20,0,-119.27319500634411,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.9, 'e': 0.7623427143471035}",20,0,-63.89248516340667,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
28,False,"{'a': 0.9, 'e': 0.7547192872036326}",20,0,-109.37311967056361,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.7471720943315961}",25,0,-43.02000972369304,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.7397003733882802}",20,0,-45.43575159371087,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
31,False,"{'a': 0.9, 'e': 0.7323033696543975}",20,0,-141.49006028885682,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
32,False,"{'a': 0.9, 'e': 0.7249803359578534}",20,10,-45.268487462370985,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.9, 'e': 0.7177305325982749}",20,0,-51.37894222017489,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.9, 'e': 0.7105532272722921}",20,0,-121.37821366361784,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.9, 'e': 0.7034476949995692}",25,0,-97.98894557017958,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
36,False,"{'a': 0.9, 'e': 0.6964132180495735}",20,0,-51.76951850831168,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.9, 'e': 0.6894490858690777}",20,13,0.5753138279378647,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.682554595010387}",20,0,-112.88217865974337,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
