trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",30,-100,-719.4837834432806,"{0: 81, 1: 10, 2: 22, 3: 6, 4: 11}",0
2,False,"{'a': 0.5, 'e': 0.81}",25,-72,-436.57677583307606,"{0: 60, 1: 12, 2: 17, 3: 2, 4: 6}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",25,-100,-789.3199117245673,"{0: 67, 1: 11, 2: 28, 3: 10, 4: 9}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",35,-8,-126.18625764300798,"{0: 27, 1: 5, 2: 10, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",20,14,-16.78083756847309,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,6,-53.134972583800035,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",20,-1,-41.33471820736047,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",35,-100,-662.8459486380824,"{0: 82, 1: 15, 2: 26, 3: 2, 4: 10}",0
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",20,-6,-61.18718685483845,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",25,-100,-633.9210194993274,"{0: 74, 1: 9, 2: 28, 3: 7, 4: 7}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",20,-100,-891.5098832644547,"{0: 67, 1: 9, 2: 26, 3: 2, 4: 16}",0
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",30,-37,-292.9837696941875,"{0: 41, 1: 6, 2: 15, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",20,-36,-295.5852254788942,"{0: 34, 1: 7, 2: 9, 3: 1, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",20,6,-12.968724866140814,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",25,-13,-183.23565186161989,"{0: 26, 1: 1, 2: 6, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",20,-100,-586.2650802368574,"{0: 72, 1: 14, 2: 24, 3: 1, 4: 9}",0
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",25,-100,-697.5850321443203,"{0: 75, 1: 14, 2: 22, 3: 3, 4: 11}",0
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",30,3,-176.53031269172436,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",20,-100,-660.7419411334573,"{0: 74, 1: 12, 2: 17, 3: 7, 4: 10}",0
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",20,2,-83.36811827136724,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,6,-110.40241508815775,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,-7,-130.09891335780017,"{0: 12, 1: 6, 2: 6, 3: 3, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,-2,-113.19494575584326,"{0: 21, 1: 3, 2: 4, 3: 4, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,-100,-627.8922459717786,"{0: 77, 1: 11, 2: 23, 3: 5, 4: 9}",0
5,True,"{'a': 0, 'e': 0}",20,-17,-250.05974122682645,"{0: 18, 1: 3, 2: 12, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,4,-51.6965148657255,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,-100,-769.875701407993,"{0: 69, 1: 15, 2: 18, 3: 6, 4: 12}",0
8,True,"{'a': 0, 'e': 0}",25,-80,-496.3786878153787,"{0: 62, 1: 13, 2: 21, 3: 2, 4: 7}",0
9,True,"{'a': 0, 'e': 0}",25,-100,-802.3485933369781,"{0: 70, 1: 14, 2: 24, 3: 5, 4: 12}",0
10,True,"{'a': 0, 'e': 0}",25,-100,-633.9764570242911,"{0: 77, 1: 8, 2: 25, 3: 7, 4: 8}",0
